# Mean_MJD=56813.227
# RMID=160 SOURCE_TYPE=RM_TILE1
# ZFINAL=0.3593
# EPOCH=28
# PLATE=7339 MJD=56813 FIBERID=0619
# Wave[vaccum]  Flux  Flux_Err  ANDMASK  ORMASK
# [Ang]         [10^(-17) erg/cm2/s/Ang]
  3566.974  9.7653e+00  0.0000e+00    83886080    83886080
  3567.796  9.7630e+00  0.0000e+00    83886080    83886080
  3568.617  9.7608e+00  0.0000e+00    83886080    88211456
  3569.439  9.7586e+00  0.0000e+00    83886080    88211456
  3570.261  9.7564e+00  0.0000e+00    88080384    88211456
  3571.083  9.7542e+00  0.0000e+00    88080384    88080384
  3571.906  9.7520e+00  0.0000e+00    88080384    88080384
  3572.728  9.7498e+00  0.0000e+00    88080384    88080384
  3573.551  9.7476e+00  0.0000e+00    88080384    88080384
  3574.374  9.7454e+00  0.0000e+00    88080384    88080384
  3575.197  9.7432e+00  0.0000e+00    88080384    88080384
  3576.020  9.7410e+00  0.0000e+00    88080384    88080384
  3576.844  9.7388e+00  0.0000e+00    88080384    88080384
  3577.668  9.7366e+00  0.0000e+00    88080384    88080384
  3578.491  9.7344e+00  0.0000e+00    88080384    88080384
  3579.315  9.7323e+00  0.0000e+00    88080384    88080384
  3580.140  9.7301e+00  0.0000e+00    88080384    88080384
  3580.964  9.7279e+00  0.0000e+00    88080384    88080384
  3581.789  9.7258e+00  0.0000e+00    88080384    88080384
  3582.614  9.7236e+00  0.0000e+00    88080384    88080384
  3583.439  9.7214e+00  0.0000e+00    88080384    88080384
  3584.264  9.7193e+00  0.0000e+00    88080384    88080384
  3585.089  9.7171e+00  0.0000e+00    88080384    88080384
  3585.915  9.7150e+00  0.0000e+00    88080384    88080384
  3586.741  9.7128e+00  0.0000e+00    88080384    88080384
  3587.567  9.7107e+00  0.0000e+00    88080384    88080384
  3588.393  9.7086e+00  0.0000e+00    88080384    88080384
  3589.219  9.7064e+00  0.0000e+00    88080384    88080384
  3590.046  9.7043e+00  0.0000e+00    88080384    88080384
  3590.872  9.7022e+00  0.0000e+00    88080384    88080384
  3591.699  9.7000e+00  0.0000e+00    88080384    88080384
  3592.526  9.6979e+00  0.0000e+00    88080384    88080384
  3593.354  9.6958e+00  0.0000e+00    88080384    88080384
  3594.181  9.6937e+00  0.0000e+00    88080384    88080384
  3595.009  9.6916e+00  0.0000e+00    88080384    88080384
  3595.837  9.6895e+00  0.0000e+00    88080384    88080384
  3596.665  9.6874e+00  0.0000e+00    88080384    88080384
  3597.493  9.6853e+00  0.0000e+00    88080384    88080384
  3598.322  9.6832e+00  0.0000e+00    88080384    88080384
  3599.150  9.6811e+00  0.0000e+00    88080384    88080384
  3599.979  9.6790e+00  0.0000e+00    88080384    88080384
  3600.808  9.6769e+00  0.0000e+00    88080384    88080384
  3601.637  9.6748e+00  0.0000e+00    88080384    88080384
  3602.467  9.6727e+00  0.0000e+00    88080384    88080384
