# Mean_MJD=57127.217
# RMID=160 SOURCE_TYPE=RM_TILE1
# ZFINAL=0.3593
# EPOCH=39
# PLATE=7338 MJD=57127 FIBERID=0612
# Wave[vaccum]  Flux  Flux_Err  ANDMASK  ORMASK
# [Ang]         [10^(-17) erg/cm2/s/Ang]
  3566.974  1.9198e+01  0.0000e+00    83886080    83886080
  3567.796  1.9193e+01  0.0000e+00    83886080    83886080
  3568.617  1.9187e+01  0.0000e+00    83886080    83886080
  3569.439  1.9182e+01  0.0000e+00    83886080    83886080
  3570.261  1.9177e+01  0.0000e+00    83886080    83886080
  3571.083  1.9171e+01  0.0000e+00    83886080    83886080
  3571.906  1.9166e+01  0.0000e+00    83886080    83886080
  3572.728  1.9161e+01  0.0000e+00    83886080    88080384
  3573.551  1.9156e+01  0.0000e+00    88080384    88080384
  3574.374  1.9150e+01  0.0000e+00    88080384    88080384
  3575.197  1.9145e+01  0.0000e+00    88080384    88080384
  3576.020  1.9140e+01  0.0000e+00    88080384    88080384
  3576.844  1.9135e+01  0.0000e+00    88080384    88080384
  3577.668  1.9129e+01  0.0000e+00    88080384    88080384
  3578.491  1.9124e+01  0.0000e+00    88080384    88080384
  3579.315  1.9119e+01  0.0000e+00    88080384    88080384
  3580.140  1.9114e+01  0.0000e+00    88080384    88080384
  3580.964  1.9109e+01  0.0000e+00    88080384    88080384
  3581.789  1.9103e+01  0.0000e+00    88080384    88080384
  3582.614  1.9098e+01  0.0000e+00    88080384    88080384
  3583.439  1.9093e+01  0.0000e+00    88080384    88080384
  3584.264  1.9088e+01  0.0000e+00    88080384    88080384
  3585.089  1.9083e+01  0.0000e+00    88080384    88080384
  3585.915  1.9078e+01  0.0000e+00    88080384    88080384
  3586.741  1.9072e+01  0.0000e+00    88080384    88080384
  3587.567  1.9067e+01  0.0000e+00    88080384    88080384
  3588.393  1.9062e+01  0.0000e+00    88080384    88080384
  3589.219  1.9057e+01  0.0000e+00    88080384    88080384
  3590.046  1.9052e+01  0.0000e+00    88080384    88080384
  3590.872  1.9047e+01  0.0000e+00    88080384    88080384
