# Mean_MJD=58502.473
# RMID=160 SOURCE_TYPE=RM_TILE1
# ZFINAL=0.3593
# EPOCH=79
# PLATE=7338 MJD=58503 FIBERID=0614
# Wave[vaccum]  Flux  Flux_Err  ANDMASK  ORMASK
# [Ang]         [10^(-17) erg/cm2/s/Ang]
  3566.974  1.4682e+01  0.0000e+00    83886080    83886080
  3567.796  1.4678e+01  0.0000e+00    83886080    83886080
  3568.617  1.4673e+01  0.0000e+00    83886080    83886080
  3569.439  1.4669e+01  0.0000e+00    83886080    83886080
  3570.261  1.4665e+01  0.0000e+00    83886080    88080384
  3571.083  1.4660e+01  0.0000e+00    88080384    88080384
  3571.906  1.4656e+01  0.0000e+00    88080384    88080384
  3572.728  1.4652e+01  0.0000e+00    88080384    88080384
  3573.551  1.4647e+01  0.0000e+00    88080384    88080384
  3574.374  1.4643e+01  0.0000e+00    88080384    88080384
  3575.197  1.4639e+01  0.0000e+00    88080384    88080384
  3576.020  1.4634e+01  0.0000e+00    88080384    88080384
  3576.844  1.4630e+01  0.0000e+00    88080384    88080384
  3577.668  1.4626e+01  0.0000e+00    88080384    88080384
  3578.491  1.4621e+01  0.0000e+00    88080384    88080384
  3579.315  1.4617e+01  0.0000e+00    88080384    88080384
  3580.140  1.4613e+01  0.0000e+00    88080384    88080384
  3580.964  1.4609e+01  0.0000e+00    88080384    88080384
  3581.789  1.4604e+01  0.0000e+00    88080384    88080384
  3582.614  1.4600e+01  0.0000e+00    88080384    88080384
  3583.439  1.4596e+01  0.0000e+00    16777216   222887936
  3584.264  1.4592e+01  0.0000e+00    16777216   218693632
  3585.089  1.4588e+01  5.6527e+00           0    67108864
  3585.915  4.1862e+00  5.4752e+00           0    67108864
  3586.741  1.0451e+01  5.2355e+00           0           0
  3587.567  1.3588e+01  5.2759e+00           0           0
  3588.393  1.8012e+01  5.2160e+00           0           0
  3589.219  1.9487e+01  5.1011e+00           0           0
  3590.046  1.0435e+01  4.9800e+00           0      589824
  3590.872  1.5922e+00  5.0440e+00           0      589824
  3591.699  1.2997e+01  4.8309e+00           0           0
  3592.526  1.1631e+00  4.3957e+00           0           0
  3593.354 -3.4923e+00  4.7466e+00           0      589824
  3594.181 -2.0940e+00  4.4798e+00      589824      589824
  3595.009 -4.7062e+00  4.5872e+00      589824      589824
  3595.837  1.0074e+01  5.0945e+00           0      589824
  3596.665  8.6141e+00  4.8023e+00           0           0
  3597.493 -3.0368e+00  4.6491e+00           0           0
  3598.322 -2.7101e+00  4.6900e+00           0           0
  3599.150  9.7512e+00  4.9654e+00           0           0
  3599.979  1.7975e+01  5.0762e+00           0           0
  3600.808  1.1818e+01  4.8394e+00           0      589824
  3601.637  2.6455e+00  4.5974e+00       65536      589824
  3602.467 -2.9393e+00  4.3909e+00       65536      589824
  3603.296  5.5082e+00  4.4795e+00           0      589824
  3604.126  9.1926e+00  4.3626e+00           0           0
  3604.956  2.0844e+00  4.2302e+00           0           0
  3605.786  1.5608e+01  4.3179e+00           0           0
  3606.617  9.5956e+00  4.2077e+00           0           0
  3607.447  1.9733e+00  3.7167e+00           0           0
  3608.278 -8.5077e-01  3.6168e+00           0           0
  3609.109  1.1379e+00  3.5752e+00           0           0
  3609.940  9.5155e+00  3.8621e+00           0           0
  3610.771  1.9200e+01  4.1854e+00           0      589824
  3611.603 -3.2180e+00  3.8612e+00           0      589824
