# Mean_MJD=57918.164
# RMID=160 SOURCE_TYPE=RM_TILE1
# ZFINAL=0.3593
# EPOCH=68
# PLATE=7339 MJD=57918 FIBERID=0611
# Wave[vaccum]  Flux  Flux_Err  ANDMASK  ORMASK
# [Ang]         [10^(-17) erg/cm2/s/Ang]
  3566.974  6.5149e+00  0.0000e+00    83886080    83886080
  3567.796  6.5135e+00  0.0000e+00    83886080    88670208
  3568.617  6.5122e+00  0.0000e+00    88670208    88670208
  3569.439  6.5108e+00  0.0000e+00    88080384    88670208
  3570.261  6.5094e+00  0.0000e+00    88080384    88080384
  3571.083  6.5081e+00  0.0000e+00    88080384    88080384
  3571.906  6.5067e+00  0.0000e+00    88080384    88670208
  3572.728  6.5053e+00  0.0000e+00    88080384    88670208
  3573.551  6.5040e+00  0.0000e+00    88080384    88080384
  3574.374  6.5026e+00  0.0000e+00    88080384    88080384
  3575.197  6.5013e+00  0.0000e+00    88080384    88080384
  3576.020  6.4999e+00  0.0000e+00    88080384    88080384
  3576.844  6.4985e+00  0.0000e+00    88080384    88080384
  3577.668  6.4972e+00  0.0000e+00    88080384    88080384
  3578.491  6.4958e+00  0.0000e+00    88080384    88080384
  3579.315  6.4945e+00  0.0000e+00    88080384    88670208
  3580.140  6.4932e+00  0.0000e+00    88670208    88670208
  3580.964  6.4918e+00  0.0000e+00    88080384    88080384
  3581.789  6.4905e+00  0.0000e+00    88080384    88080384
  3582.614  6.4891e+00  0.0000e+00    88080384    88080384
  3583.439  6.4878e+00  0.0000e+00    88080384    88080384
  3584.264  6.4865e+00  0.0000e+00    88080384    88670208
  3585.089  6.4851e+00  0.0000e+00    88080384    88670208
  3585.915  6.4838e+00  0.0000e+00    88080384    88080384
  3586.741  6.4825e+00  0.0000e+00    88080384    88670208
  3587.567  6.4812e+00  0.0000e+00    88080384    88670208
  3588.393  6.4798e+00  0.0000e+00    88080384    88080384
  3589.219  6.4785e+00  0.0000e+00    88080384    88080384
  3590.046  6.4772e+00  0.0000e+00    88080384    88080384
  3590.872  6.4759e+00  0.0000e+00    88080384    88080384
  3591.699  6.4746e+00  0.0000e+00    88080384    88080384
  3592.526  6.4733e+00  0.0000e+00    88080384    88080384
  3593.354  6.4719e+00  0.0000e+00    88080384    88080384
  3594.181  6.4706e+00  0.0000e+00    88080384    88080384
  3595.009  6.4693e+00  0.0000e+00    88080384    88080384
  3595.837  6.4680e+00  0.0000e+00    88080384    88080384
  3596.665  6.4667e+00  0.0000e+00    88080384    88080384
  3597.493  6.4654e+00  0.0000e+00    88080384    88080384
  3598.322  6.4641e+00  0.0000e+00    88080384    88670208
  3599.150  6.4628e+00  0.0000e+00    88670208    88670208
  3599.979  6.4615e+00  0.0000e+00    88080384    88670208
  3600.808  6.4603e+00  0.0000e+00    88080384    88080384
  3601.637  6.4590e+00  0.0000e+00    88080384    88080384
  3602.467  6.4577e+00  0.0000e+00    88080384    88080384
  3603.296  6.4564e+00  0.0000e+00    88080384    88080384
  3604.126  6.4551e+00  0.0000e+00    88080384    88080384
  3604.956  6.4538e+00  0.0000e+00    88080384    88080384
  3605.786  6.4526e+00  0.0000e+00    88080384    88080384
  3606.617  6.4513e+00  0.0000e+00    88670208    88670208
  3607.447  6.4500e+00  0.0000e+00    88080384    88670208
  3608.278  6.4487e+00  0.0000e+00    88080384    88080384
  3609.109  6.4475e+00  0.0000e+00    88080384    88080384
  3609.940  6.4462e+00  0.0000e+00    88080384    88080384
  3610.771  6.4449e+00  0.0000e+00    16777216    88080384
  3611.603  6.4437e+00  0.0000e+00    16777216    16777216
  3612.434  6.4424e+00  4.4121e+00           0           0
  3613.266  4.5159e+00  4.2439e+00           0           0
  3614.098  7.0714e+00  3.8724e+00           0           0
  3614.931 -1.6025e+00  3.7355e+00           0           0
  3615.763  6.3630e+00  3.9588e+00           0      589824
  3616.596  7.5148e+00  3.9386e+00      589824      589824
  3617.429  1.0183e+01  3.9931e+00           0      589824
  3618.262  1.5697e+01  3.9269e+00           0           0
  3619.095  1.6741e+00  3.6914e+00           0           0
  3619.928  8.8071e+00  3.3839e+00           0           0
  3620.762 -1.9999e+00  3.2194e+00           0      589824
  3621.596  6.6462e+00  3.2627e+00      589824      589824
  3622.430  1.0355e+01  3.5061e+00           0           0
  3623.264 -3.8876e+00  3.0082e+00           0           0
  3624.098  6.0683e+00  3.1119e+00           0           0
  3624.933  5.2204e-01  3.2982e+00           0           0
  3625.768  5.9994e+00  3.3208e+00           0           0
  3626.603  7.4017e+00  3.4914e+00           0      589824
  3627.438  4.8162e+00  4.1117e+00      589824      589824
  3628.273  5.1290e+00  3.4073e+00           0      589824
  3629.109  5.4443e+00  3.3349e+00           0           0
  3629.944  9.9412e+00  3.4436e+00           0           0
  3630.780  5.8309e+00  3.3767e+00           0           0
  3631.616  1.5521e+00  3.0802e+00           0      589824
  3632.453  1.7733e+00  3.1772e+00      589824      589824
  3633.289  4.2176e+00  3.9425e+00      589824      589824
  3634.126  3.7858e+00  3.1723e+00           0      589824
  3634.963 -3.0930e+00  2.9318e+00           0           0
  3635.800  5.9161e+00  3.0818e+00           0           0
  3636.637  6.0895e+00  3.2406e+00           0           0
  3637.475  5.1728e+00  3.0463e+00           0           0
  3638.312  1.0329e+01  3.2519e+00           0           0
  3639.150  2.6164e+00  2.8233e+00           0           0
  3639.988  2.0739e+00  2.9309e+00           0      589824
  3640.826  5.6614e+00  3.0520e+00           0      589824
  3641.665  6.6272e+00  2.9621e+00           0           0
  3642.503  5.2275e+00  2.9954e+00           0           0
  3643.342  5.5115e+00  3.0754e+00           0           0
  3644.181  7.9134e+00  3.1194e+00           0      589824
  3645.021  4.4125e+00  2.8975e+00           0      589824
  3645.860  1.9627e+00  3.2265e+00           0      589824
  3646.699  5.8348e+00  3.5059e+00           0      589824
  3647.539  9.3159e+00  3.0563e+00           0           0
  3648.379  6.2474e+00  2.8901e+00           0           0
  3649.219  2.6224e+00  2.8680e+00           0           0
  3650.060  7.9392e+00  3.0910e+00           0           0
  3650.900  9.1430e+00  3.1232e+00           0           0
  3651.741  3.9111e-01  2.6697e+00           0           0
  3652.582 -2.3229e+00  2.3913e+00           0           0
  3653.423  5.5363e+00  2.7353e+00           0           0
  3654.264  4.7094e+00  2.7719e+00           0           0
  3655.106  7.2069e+00  2.9648e+00           0           0
  3655.948  8.5485e+00  2.9132e+00           0           0
  3656.790  8.2321e+00  2.7845e+00           0           0
  3657.632  3.8114e+00  2.5763e+00           0           0
  3658.474 -2.8027e-01  2.3786e+00           0           0
  3659.317  4.9677e+00  2.6264e+00           0           0
  3660.159  2.2402e+00  2.4407e+00      589824      589824
  3661.002  5.2006e+00  2.6569e+00           0      589824
  3661.845  5.6331e+00  2.6935e+00           0           0
  3662.688  5.6329e+00  2.7119e+00           0           0
  3663.532  5.8277e+00  2.6024e+00           0           0
  3664.376 -1.0567e+00  2.3397e+00           0           0
  3665.219  4.7968e+00  2.6211e+00           0           0
  3666.063  2.1970e+00  2.2829e+00           0           0
  3666.908  1.1421e+01  2.9564e+00           0      589824
  3667.752  1.3737e+01  2.7193e+00           0      589824
  3668.597 -5.0754e-01  2.3823e+00           0      589824
  3669.442  2.9758e+00  2.6657e+00           0      589824
  3670.287  5.0021e+00  2.3783e+00           0           0
  3671.132  3.4779e+00  2.1167e+00           0           0
  3671.977  2.7641e+00  2.1771e+00           0           0
  3672.823  3.8862e+00  2.2331e+00           0           0
  3673.669  5.5247e+00  2.3463e+00           0           0
  3674.515  5.9028e+00  2.3553e+00           0           0
  3675.361  2.1380e+00  2.1309e+00           0           0
  3676.207  7.6049e+00  2.3547e+00           0           0
  3677.054  6.5572e+00  2.2661e+00           0           0
  3677.901  5.8371e+00  2.3871e+00           0           0
  3678.747  9.8712e+00  2.3158e+00           0           0
  3679.595  2.6301e+00  2.1832e+00           0           0
  3680.442  4.7621e+00  2.2059e+00           0      589824
  3681.290  1.7665e+00  2.3484e+00      589824      589824
  3682.137  4.0391e+00  2.2090e+00           0           0
  3682.985  5.5891e+00  2.0148e+00           0           0
  3683.833  1.3057e+00  1.9879e+00           0           0
  3684.682  3.6466e+00  1.8660e+00           0           0
  3685.530  4.1042e+00  1.8559e+00           0           0
  3686.379  5.3985e+00  2.0950e+00           0           0
  3687.228  2.0525e+00  1.7270e+00           0           0
  3688.077  1.9733e+00  1.9861e+00           0           0
  3688.926  6.6277e+00  1.9179e+00           0           0
  3689.776  2.2878e+00  1.9409e+00           0           0
  3690.625  6.3608e+00  1.9105e+00           0           0
  3691.475  8.3651e-01  1.8416e+00           0           0
  3692.325  2.7422e+00  1.9289e+00           0           0
  3693.176  7.0676e+00  2.0369e+00           0           0
  3694.026  4.3215e+00  1.8752e+00           0           0
  3694.877  4.6039e+00  1.8627e+00           0           0
  3695.728  2.1290e+00  1.6873e+00           0           0
  3696.579  6.3191e-03  1.6100e+00           0           0
  3697.430  6.4019e+00  1.8183e+00           0           0
  3698.282  9.0950e+00  2.2046e+00           0           0
  3699.133  2.1471e+00  1.8970e+00           0           0
  3699.985  3.2793e+00  1.9197e+00           0           0
  3700.837  5.2018e+00  1.9739e+00           0           0
  3701.689  5.7691e+00  1.9493e+00           0           0
  3702.542  3.3278e+00  1.8529e+00           0           0
  3703.394  2.5368e+00  1.7527e+00           0           0
  3704.247  5.5004e+00  1.8933e+00           0           0
  3705.100  5.8215e+00  1.8843e+00           0           0
  3705.954  4.1710e+00  1.8327e+00           0           0
  3706.807  3.6590e+00  1.7935e+00           0           0
  3707.661  5.6478e+00  1.8081e+00           0           0
  3708.514  6.6551e+00  1.8185e+00           0           0
  3709.368  6.8130e+00  1.8087e+00           0      589824
  3710.223  1.0727e+01  2.1462e+00      589824      589824
  3711.077  5.8968e+00  1.7715e+00           0      589824
  3711.932  5.0767e+00  1.7602e+00           0           0
  3712.787  6.9108e+00  1.8321e+00           0           0
  3713.641  5.8093e+00  1.7739e+00           0           0
  3714.497  2.4882e+00  1.6289e+00           0      589824
  3715.352  3.6792e+00  1.6507e+00      589824      589824
  3716.208  4.1603e+00  1.6810e+00           0           0
  3717.063  6.8055e+00  1.7667e+00           0           0
  3717.919  6.9011e+00  1.7317e+00           0           0
  3718.776  5.6606e+00  1.6698e+00           0           0
  3719.632  6.2901e+00  1.6740e+00           0      589824
  3720.489  7.1816e+00  1.7499e+00           0      589824
  3721.345  8.1817e+00  1.7348e+00           0           0
  3722.202  5.8256e+00  1.6275e+00           0           0
  3723.059  5.0631e+00  1.6530e+00           0      589824
  3723.917  6.5609e+00  1.7166e+00           0      589824
  3724.774  6.9500e+00  1.6756e+00           0      589824
  3725.632  5.0847e+00  1.5830e+00           0      589824
  3726.490  5.4336e+00  1.5347e+00           0      589824
  3727.348  3.5455e+00  1.5129e+00      589824      589824
  3728.207  2.1936e+00  1.6956e+00      589824      589824
  3729.065  4.8528e+00  1.6838e+00           0      589824
  3729.924  7.2489e+00  1.5246e+00           0           0
  3730.783  2.0343e+00  1.5033e+00           0      589824
  3731.642  7.0296e+00  1.6062e+00           0      589824
  3732.501  6.9336e+00  1.6531e+00           0           0
  3733.361  5.4010e+00  1.5334e+00           0           0
  3734.221  6.3716e+00  1.6139e+00           0           0
  3735.081  7.0837e+00  1.5929e+00           0      589824
  3735.941  4.2271e+00  1.5255e+00           0      589824
  3736.801  6.7140e+00  1.5288e+00           0           0
  3737.662  6.1456e+00  1.6068e+00           0           0
  3738.522  6.2343e+00  1.5785e+00           0           0
  3739.383  5.7216e+00  1.6541e+00           0           0
  3740.244  4.5390e+00  1.6236e+00           0           0
  3741.106  8.6351e+00  1.6926e+00           0           0
  3741.967  5.5263e+00  1.6368e+00           0           0
  3742.829  7.8346e+00  1.6113e+00           0           0
  3743.691  7.1443e+00  1.6016e+00           0           0
  3744.553  4.1957e+00  1.4748e+00           0           0
  3745.415  5.2759e+00  1.4589e+00           0           0
  3746.278  7.6702e+00  1.5191e+00           0           0
  3747.140  7.0694e+00  1.5264e+00           0           0
  3748.003  8.4455e+00  1.5444e+00           0           0
  3748.867  7.1175e+00  1.4508e+00           0           0
  3749.730  5.3184e+00  1.3700e+00           0           0
  3750.593  7.3490e+00  1.5187e+00           0           0
  3751.457  8.8204e+00  1.5843e+00           0           0
  3752.321  3.8917e+00  1.3686e+00           0           0
  3753.185  5.5737e+00  1.4444e+00           0           0
  3754.049  8.2626e+00  1.5527e+00           0           0
  3754.914  7.3827e+00  1.5528e+00           0           0
  3755.779  5.4481e+00  1.4846e+00           0           0
  3756.643  6.6957e+00  1.5489e+00           0      589824
  3757.509  6.7026e+00  1.8187e+00      589824      589824
  3758.374  4.7545e+00  1.3635e+00           0      589824
