# Mean_MJD=56683.480
# RMID=160 SOURCE_TYPE=RM_TILE1
# ZFINAL=0.3593
# EPOCH= 4
# PLATE=7339 MJD=56683 FIBERID=0617
# Wave[vaccum]  Flux  Flux_Err  ANDMASK  ORMASK
# [Ang]         [10^(-17) erg/cm2/s/Ang]
  3566.974  7.6340e+00  0.0000e+00    88080384    88080384
  3567.796  7.6317e+00  0.0000e+00    88080384    88080384
  3568.617  7.6293e+00  0.0000e+00    88080384    88080384
  3569.439  7.6269e+00  0.0000e+00    88080384    88080384
  3570.261  7.6245e+00  0.0000e+00    88080384    88080384
  3571.083  7.6222e+00  0.0000e+00    88080384    88080384
  3571.906  7.6198e+00  0.0000e+00    88080384    88080384
  3572.728  7.6175e+00  0.0000e+00    88080384    88080384
  3573.551  7.6151e+00  0.0000e+00    88080384    88080384
  3574.374  7.6128e+00  0.0000e+00    88080384    88080384
  3575.197  7.6104e+00  0.0000e+00    88080384    88080384
  3576.020  7.6081e+00  0.0000e+00    88080384    88080384
  3576.844  7.6057e+00  0.0000e+00    88080384    88080384
  3577.668  7.6034e+00  0.0000e+00    88080384    88080384
  3578.491  7.6011e+00  0.0000e+00    88080384    88080384
  3579.315  7.5987e+00  0.0000e+00    88080384    88080384
  3580.140  7.5964e+00  0.0000e+00    88080384    88080384
  3580.964  7.5941e+00  0.0000e+00    88080384    88080384
  3581.789  7.5918e+00  0.0000e+00    88080384    88080384
  3582.614  7.5895e+00  0.0000e+00    88080384    88080384
  3583.439  7.5872e+00  0.0000e+00    88080384    88080384
  3584.264  7.5849e+00  0.0000e+00    88080384    88080384
  3585.089  7.5826e+00  0.0000e+00    88080384    88080384
  3585.915  7.5803e+00  0.0000e+00    88080384    88080384
  3586.741  7.5780e+00  0.0000e+00    88080384    88080384
  3587.567  7.5757e+00  0.0000e+00    88080384    88080384
  3588.393  7.5734e+00  0.0000e+00    88080384    88080384
  3589.219  7.5711e+00  0.0000e+00    88080384    88080384
  3590.046  7.5688e+00  0.0000e+00    88080384    88080384
  3590.872  7.5666e+00  0.0000e+00    88080384    88080384
  3591.699  7.5643e+00  0.0000e+00    88080384    88080384
  3592.526  7.5620e+00  0.0000e+00    88080384    88080384
  3593.354  7.5598e+00  0.0000e+00    88080384    88080384
  3594.181  7.5575e+00  0.0000e+00    88080384    88080384
  3595.009  7.5553e+00  0.0000e+00    88080384    88080384
  3595.837  7.5530e+00  0.0000e+00    88080384    88080384
  3596.665  7.5508e+00  0.0000e+00    88080384    88080384
  3597.493  7.5485e+00  0.0000e+00    88080384    88080384
  3598.322  7.5463e+00  0.0000e+00    88080384    88080384
  3599.150  7.5440e+00  0.0000e+00    88080384    88080384
  3599.979  7.5418e+00  0.0000e+00    88080384    88080384
  3600.808  7.5396e+00  0.0000e+00    88080384    88080384
  3601.637  7.5374e+00  0.0000e+00    88080384    88080384
  3602.467  7.5351e+00  0.0000e+00    88080384    88080384
  3603.296  7.5329e+00  0.0000e+00    88080384    88080384
  3604.126  7.5307e+00  0.0000e+00    88080384    88080384
  3604.956  7.5285e+00  0.0000e+00    88080384    88080384
  3605.786  7.5263e+00  0.0000e+00    88080384    88080384
  3606.617  7.5241e+00  0.0000e+00    88080384    88080384
  3607.447  7.5219e+00  0.0000e+00    88080384    88080384
  3608.278  7.5197e+00  0.0000e+00    88080384    88080384
  3609.109  7.5175e+00  0.0000e+00    88080384    88080384
  3609.940  7.5153e+00  0.0000e+00    16777216    88080384
  3610.771  7.5131e+00  0.0000e+00    16777216    88080384
  3611.603  7.5109e+00  3.7775e+00           0           0
  3612.434  1.0687e+00  3.6133e+00           0           0
  3613.266  1.1162e+01  3.6122e+00           0           0
  3614.098 -2.7162e+00  3.3325e+00           0           0
  3614.931  2.8849e+00  3.2763e+00           0           0
  3615.763 -3.5367e+00  3.2441e+00           0           0
  3616.596 -2.3510e+00  3.1740e+00           0           0
  3617.429  2.9750e+00  3.3478e+00           0           0
  3618.262 -1.0416e+00  3.1970e+00           0           0
  3619.095 -2.8200e-01  3.2666e+00           0           0
  3619.928  1.2044e+01  3.4861e+00           0           0
  3620.762  1.0067e+01  3.5085e+00           0           0
  3621.596  6.8945e+00  3.3487e+00           0           0
  3622.430  4.0817e+00  3.2364e+00           0           0
  3623.264 -3.4508e-01  3.1217e+00           0           0
  3624.098  5.3644e+00  3.1992e+00           0           0
  3624.933  8.0708e+00  3.2223e+00           0           0
  3625.768  5.3417e+00  3.1282e+00           0           0
  3626.603  3.0866e+00  3.1276e+00           0           0
  3627.438  4.7618e+00  3.1110e+00           0           0
  3628.273  5.7204e+00  3.1180e+00           0           0
  3629.109 -8.0987e-01  3.0068e+00           0           0
  3629.944  1.4294e+00  3.0763e+00           0           0
  3630.780  1.0338e+01  3.1830e+00           0           0
  3631.616  5.4430e+00  3.0480e+00           0           0
  3632.453 -1.1742e+00  2.9803e+00           0           0
  3633.289  3.9150e+00  3.0241e+00           0           0
  3634.126  2.5795e+00  2.9469e+00           0           0
  3634.963  3.3637e+00  2.9774e+00           0           0
  3635.800  6.6375e+00  2.9617e+00           0           0
  3636.637  3.0235e+00  2.8732e+00           0           0
  3637.475  9.7889e-01  2.7584e+00           0           0
