# Mean_MJD=56799.212
# RMID=160 SOURCE_TYPE=RM_TILE1
# ZFINAL=0.3593
# EPOCH=25
# PLATE=7339 MJD=56799 FIBERID=0611
# Wave[vaccum]  Flux  Flux_Err  ANDMASK  ORMASK
# [Ang]         [10^(-17) erg/cm2/s/Ang]
  3566.974  7.6488e+00  0.0000e+00    88080384    88080384
  3567.796  7.6473e+00  0.0000e+00    88080384    88080384
  3568.617  7.6458e+00  0.0000e+00    88080384    88080384
  3569.439  7.6443e+00  0.0000e+00    88080384    88080384
  3570.261  7.6428e+00  0.0000e+00    88080384    88080384
  3571.083  7.6413e+00  0.0000e+00    88080384    88080384
  3571.906  7.6399e+00  0.0000e+00    88080384    88080384
  3572.728  7.6384e+00  0.0000e+00    88080384    88080384
  3573.551  7.6369e+00  0.0000e+00    88080384    88080384
  3574.374  7.6355e+00  0.0000e+00    88080384    88080384
  3575.197  7.6340e+00  0.0000e+00    88080384    88080384
  3576.020  7.6325e+00  0.0000e+00    88080384    88080384
  3576.844  7.6311e+00  0.0000e+00    88080384    88080384
  3577.668  7.6296e+00  0.0000e+00    88080384    88080384
  3578.491  7.6281e+00  0.0000e+00    88080384    88080384
  3579.315  7.6267e+00  0.0000e+00    88080384    88080384
  3580.140  7.6252e+00  0.0000e+00    88080384    88080384
  3580.964  7.6238e+00  0.0000e+00    88080384    88080384
  3581.789  7.6223e+00  0.0000e+00    88080384    88080384
  3582.614  7.6209e+00  0.0000e+00    88080384    88080384
  3583.439  7.6194e+00  0.0000e+00    88080384    88080384
  3584.264  7.6180e+00  0.0000e+00    88080384    88080384
  3585.089  7.6166e+00  0.0000e+00    88080384    88080384
  3585.915  7.6151e+00  0.0000e+00    88080384    88080384
  3586.741  7.6137e+00  0.0000e+00    88080384    88080384
  3587.567  7.6123e+00  0.0000e+00    88080384    88080384
  3588.393  7.6108e+00  0.0000e+00    88080384    88080384
  3589.219  7.6094e+00  0.0000e+00    88080384    88080384
  3590.046  7.6080e+00  0.0000e+00    88080384    88080384
  3590.872  7.6066e+00  0.0000e+00    88080384    88080384
  3591.699  7.6051e+00  0.0000e+00    88080384    88080384
  3592.526  7.6037e+00  0.0000e+00    88080384    88080384
  3593.354  7.6023e+00  0.0000e+00    88080384    88080384
  3594.181  7.6009e+00  0.0000e+00    88080384    88080384
  3595.009  7.5995e+00  0.0000e+00    88080384    88080384
  3595.837  7.5981e+00  0.0000e+00    88080384    88080384
  3596.665  7.5967e+00  0.0000e+00    88080384    88080384
  3597.493  7.5953e+00  0.0000e+00    88080384    88080384
  3598.322  7.5939e+00  0.0000e+00    88080384    88080384
  3599.150  7.5925e+00  0.0000e+00    88080384    88080384
  3599.979  7.5911e+00  0.0000e+00    88080384    88080384
  3600.808  7.5897e+00  0.0000e+00    88080384    88080384
  3601.637  7.5883e+00  0.0000e+00    88080384    88080384
  3602.467  7.5869e+00  0.0000e+00    88080384    88080384
  3603.296  7.5855e+00  0.0000e+00    88080384    88080384
  3604.126  7.5841e+00  0.0000e+00    88080384    88080384
  3604.956  7.5827e+00  0.0000e+00    88080384    88080384
  3605.786  7.5814e+00  0.0000e+00    88080384    88080384
  3606.617  7.5800e+00  0.0000e+00    88080384    88080384
  3607.447  7.5786e+00  0.0000e+00    88080384    88080384
  3608.278  7.5772e+00  0.0000e+00    88080384    88080384
  3609.109  7.5759e+00  0.0000e+00    88080384    88080384
  3609.940  7.5745e+00  0.0000e+00    88080384    88080384
  3610.771  7.5731e+00  0.0000e+00    88080384    88080384
  3611.603  7.5718e+00  0.0000e+00    16777216    88080384
  3612.434  7.5704e+00  0.0000e+00    16777216    16777216
  3613.266  7.5690e+00  2.7835e+00           0           0
  3614.098  5.4244e+00  2.7114e+00           0           0
  3614.931  1.1288e+01  2.9148e+00           0           0
  3615.763  8.7939e+00  2.7253e+00           0           0
  3616.596  4.4542e+00  2.7316e+00           0           0
  3617.429  7.0978e+00  2.7077e+00           0           0
  3618.262  2.7062e+00  2.6763e+00           0           0
  3619.095  8.2751e+00  2.8109e+00           0           0
  3619.928  1.0492e+01  2.8884e+00           0           0
  3620.762  9.1125e+00  2.8711e+00           0           0
  3621.596  5.6045e+00  2.7329e+00           0           0
  3622.430  9.2811e-01  2.5576e+00           0           0
  3623.264 -2.7497e-01  2.4420e+00           0           0
  3624.098  3.9161e+00  2.4326e+00           0           0
  3624.933 -2.5200e+00  2.2792e+00           0           0
  3625.768  1.9654e+00  2.3542e+00           0           0
  3626.603  8.9468e+00  2.4943e+00           0           0
  3627.438  2.6560e+00  2.3936e+00           0           0
  3628.273  3.3497e+00  2.3230e+00           0           0
  3629.109  4.9315e+00  2.3596e+00           0           0
  3629.944  4.1459e+00  2.3979e+00           0           0
  3630.780  1.9624e+00  2.2862e+00           0           0
  3631.616  1.8008e+00  2.2509e+00           0           0
  3632.453  5.3126e+00  2.3121e+00           0           0
  3633.289  8.3006e+00  2.3422e+00           0           0
  3634.126  5.6460e+00  2.3403e+00           0           0
  3634.963  1.0129e+01  2.4206e+00           0           0
  3635.800  6.5024e+00  2.3030e+00           0           0
  3636.637  4.0014e+00  2.4016e+00           0           0
  3637.475  1.1597e+01  2.4368e+00           0           0
  3638.312  4.2935e+00  2.3887e+00           0           0
  3639.150  7.1009e+00  2.4039e+00           0           0
  3639.988  1.1264e+01  2.4813e+00           0           0
  3640.826  8.4290e+00  2.3944e+00           0           0
  3641.665  6.9628e+00  2.4217e+00           0           0
  3642.503  1.1236e+01  2.3729e+00           0           0
  3643.342  4.8174e+00  2.2342e+00           0           0
  3644.181  1.2262e+00  2.1002e+00           0           0
  3645.021  6.6824e+00  2.1447e+00           0           0
  3645.860  8.1023e+00  2.1709e+00           0           0
  3646.699  4.8345e+00  2.1199e+00           0           0
  3647.539  5.0019e+00  2.0582e+00           0           0
  3648.379  6.7218e+00  2.1057e+00           0           0
  3649.219  4.3220e+00  2.1714e+00           0           0
  3650.060  4.4601e+00  2.1219e+00           0           0
  3650.900  5.8435e+00  2.2492e+00           0           0
  3651.741  5.8678e+00  2.1598e+00           0           0
  3652.582  4.8685e+00  2.0589e+00           0           0
  3653.423  5.7573e+00  2.0425e+00           0           0
  3654.264  8.7334e+00  2.1012e+00           0           0
  3655.106  7.6379e+00  2.1031e+00           0           0
  3655.948  4.1135e+00  1.9628e+00           0           0
  3656.790  3.4338e+00  1.8834e+00           0           0
  3657.632  5.4719e+00  1.8753e+00           0           0
  3658.474  2.9619e+00  1.8107e+00           0           0
  3659.317  6.0556e+00  1.8766e+00           0           0
  3660.159  7.1877e+00  1.9674e+00           0           0
  3661.002  3.2561e+00  1.8496e+00           0       65536
  3661.845  5.0857e+00  2.0221e+00           0       65536
  3662.688  1.2788e+01  2.2145e+00           0      851968
  3663.532  2.9899e+00  2.0816e+00           0      851968
  3664.376  7.3022e+00  2.0340e+00           0      851968
  3665.219  5.8466e+00  2.0484e+00           0      851968
  3666.063  5.3562e+00  1.8366e+00           0           0
  3666.908  7.7298e+00  1.8530e+00           0           0
  3667.752  6.8946e+00  1.7678e+00           0           0
  3668.597  4.6356e+00  1.6746e+00           0           0
  3669.442  1.5233e+00  1.5787e+00           0           0
  3670.287  5.3492e+00  1.6001e+00           0           0
  3671.132  3.7724e+00  1.5507e+00           0           0
  3671.977  1.3062e+00  1.4998e+00           0           0
  3672.823  6.0243e+00  1.6115e+00           0       65536
  3673.669  3.4772e+00  1.5834e+00           0       65536
  3674.515  4.1339e+00  1.5618e+00           0       65536
  3675.361  3.9567e+00  1.5534e+00           0       65536
  3676.207  4.3075e+00  1.5167e+00           0           0
  3677.054  5.9912e+00  1.5442e+00           0           0
  3677.901  7.3398e+00  1.5455e+00           0           0
  3678.747  6.9325e+00  1.5460e+00           0           0
  3679.595  5.2993e+00  1.5375e+00           0           0
  3680.442  4.6472e+00  1.4446e+00           0           0
  3681.290  5.3074e+00  1.4608e+00           0           0
