# Mean_MJD=58617.376
# RMID=160 SOURCE_TYPE=RM_TILE1
# ZFINAL=0.3593
# EPOCH=83
# PLATE=7340 MJD=58617 FIBERID=0619
# Wave[vaccum]  Flux  Flux_Err  ANDMASK  ORMASK
# [Ang]         [10^(-17) erg/cm2/s/Ang]
  3566.974  3.9309e+01  0.0000e+00    83886080    88080384
  3567.796  3.9296e+01  0.0000e+00    88080384    88080384
  3568.617  3.9284e+01  0.0000e+00    88080384    88080384
  3569.439  3.9271e+01  0.0000e+00    88080384    88080384
  3570.261  3.9259e+01  0.0000e+00    88670208    88670208
  3571.083  3.9246e+01  0.0000e+00    88080384    88670208
  3571.906  3.9234e+01  0.0000e+00    88080384    88080384
  3572.728  3.9221e+01  0.0000e+00    88080384    88080384
  3573.551  3.9209e+01  0.0000e+00    88080384    88080384
  3574.374  3.9197e+01  0.0000e+00    88080384    88080384
  3575.197  3.9184e+01  0.0000e+00    88080384    88080384
  3576.020  3.9172e+01  0.0000e+00    88080384    88080384
  3576.844  3.9160e+01  0.0000e+00    88080384    88080384
  3577.668  3.9147e+01  0.0000e+00    88080384    88080384
  3578.491  3.9135e+01  0.0000e+00    88080384    88080384
  3579.315  3.9123e+01  0.0000e+00    88080384    88080384
  3580.140  3.9110e+01  0.0000e+00    88670208    88670208
  3580.964  3.9098e+01  0.0000e+00    88080384    88670208
  3581.789  3.9086e+01  0.0000e+00    88080384    88080384
  3582.614  3.9074e+01  0.0000e+00    88080384    88080384
  3583.439  3.9062e+01  0.0000e+00    88080384    88080384
  3584.264  3.9050e+01  0.0000e+00    88080384    88080384
  3585.089  3.9037e+01  0.0000e+00    88080384    88080384
  3585.915  3.9025e+01  0.0000e+00    88080384    88080384
  3586.741  3.9013e+01  0.0000e+00    88080384    88080384
  3587.567  3.9001e+01  0.0000e+00    88080384    88080384
  3588.393  3.8989e+01  0.0000e+00    88080384    88080384
  3589.219  3.8977e+01  0.0000e+00    16777216    88080384
  3590.046  3.8965e+01  0.0000e+00    16777216    16777216
  3590.872  3.8953e+01  1.6914e+01           0           0
  3591.699 -4.8488e+01  1.5866e+01           0           0
  3592.526  2.3044e+01  1.7677e+01           0      589824
  3593.354 -7.6503e+00  2.0777e+01      589824      589824
  3594.181  7.9085e+00  1.9037e+01           0      589824
  3595.009  2.0210e+00  1.5648e+01           0           0
  3595.837  3.0825e+00  1.5865e+01           0           0
  3596.665  2.5480e+01  1.5398e+01           0           0
  3597.493 -1.7541e+01  1.4062e+01           0           0
  3598.322 -1.4256e+01  1.3344e+01           0           0
  3599.150 -2.7334e+01  1.3342e+01           0           0
  3599.979 -7.4047e+00  1.3174e+01           0           0
  3600.808  4.0260e+00  1.3738e+01           0           0
  3601.637 -1.8627e+01  1.3723e+01           0           0
  3602.467  5.7162e-01  1.4308e+01           0      589824
  3603.296  2.3073e+01  1.4494e+01           0      589824
  3604.126 -1.5012e+01  1.3921e+01           0           0
  3604.956  2.6110e+00  1.3513e+01           0           0
  3605.786  1.8096e+01  1.4356e+01           0           0
  3606.617 -1.3990e+01  1.2966e+01           0           0
  3607.447  1.2477e+01  1.3058e+01           0           0
  3608.278  3.9237e+00  1.3022e+01           0           0
  3609.109 -3.0124e+00  1.2256e+01           0           0
  3609.940 -1.5490e+01  1.1418e+01           0           0
  3610.771 -1.0815e+01  1.1386e+01           0           0
  3611.603  4.2109e+00  1.1799e+01           0           0
  3612.434 -1.5456e+01  1.1627e+01           0      589824
  3613.266  1.8716e+01  1.2115e+01           0      589824
  3614.098 -3.7158e+00  1.2100e+01           0           0
  3614.931 -2.1769e+01  1.1030e+01           0           0
  3615.763 -1.7593e+01  1.1537e+01           0           0
  3616.596 -6.0633e+00  1.2587e+01      589824      589824
  3617.429  1.5062e+01  1.2732e+01           0      589824
  3618.262  5.6439e-02  1.1928e+01           0           0
  3619.095 -8.2098e+00  1.1151e+01           0           0
  3619.928  4.3805e+00  1.1041e+01           0           0
  3620.762  7.9891e+00  1.1944e+01           0           0
  3621.596 -4.8770e+00  1.1501e+01           0           0
  3622.430 -1.7701e+00  1.2155e+01           0      589824
  3623.264 -2.1613e+01  1.1076e+01           0      589824
  3624.098 -1.2556e+01  1.0747e+01           0           0
  3624.933 -4.0478e+00  1.1485e+01           0           0
  3625.768  6.0975e-01  1.1808e+01           0           0
  3626.603 -2.6100e+00  1.2101e+01           0           0
  3627.438 -3.0344e+01  1.1251e+01           0           0
  3628.273 -1.6901e+00  1.2101e+01           0           0
  3629.109  1.2605e+01  1.2621e+01           0           0
  3629.944  4.1118e+00  1.2078e+01           0           0
  3630.780  1.5504e+00  1.1544e+01           0           0
  3631.616  9.4773e+00  1.1652e+01           0           0
  3632.453  2.0963e+00  1.1428e+01           0           0
  3633.289  1.6096e+01  1.2370e+01           0           0
  3634.126  1.9044e+01  1.2993e+01           0           0
  3634.963 -5.2824e+00  1.2262e+01           0           0
  3635.800 -6.2554e+00  1.1461e+01           0           0
  3636.637  1.7969e+01  1.2653e+01           0           0
  3637.475 -9.1221e+00  1.0969e+01      589824      589824
  3638.312 -3.9881e+00  1.3333e+01      589824      589824
  3639.150 -8.5355e+00  1.2393e+01           0      589824
  3639.988 -5.2287e+00  1.1578e+01           0           0
  3640.826 -1.3614e+00  1.2100e+01           0           0
  3641.665 -1.7085e+00  1.2249e+01           0           0
  3642.503  1.4366e+01  1.3032e+01           0           0
  3643.342  5.9397e+00  1.2046e+01           0           0
