# Mean_MJD=58127.033
# RMID=160 SOURCE_TYPE=RM_TILE1
# ZFINAL=0.3593
# EPOCH=70
# PLATE=7338 MJD=58127 FIBERID=0612
# Wave[vaccum]  Flux  Flux_Err  ANDMASK  ORMASK
# [Ang]         [10^(-17) erg/cm2/s/Ang]
  3566.974  4.7611e+00  0.0000e+00    88080384    88080384
  3567.796  4.7597e+00  0.0000e+00    88080384    88080384
  3568.617  4.7583e+00  0.0000e+00    88080384    88080384
  3569.439  4.7568e+00  0.0000e+00    88080384    88670208
  3570.261  4.7554e+00  0.0000e+00    88080384    88670208
  3571.083  4.7540e+00  0.0000e+00    88080384    88670208
  3571.906  4.7526e+00  0.0000e+00    88080384    88670208
  3572.728  4.7512e+00  0.0000e+00    88080384    88670208
  3573.551  4.7498e+00  0.0000e+00    88080384    88670208
  3574.374  4.7484e+00  0.0000e+00    88080384    88080384
  3575.197  4.7470e+00  0.0000e+00    88080384    88080384
  3576.020  4.7456e+00  0.0000e+00    88080384    88080384
  3576.844  4.7442e+00  0.0000e+00    88080384    88080384
  3577.668  4.7429e+00  0.0000e+00    88080384    88080384
  3578.491  4.7415e+00  0.0000e+00    88080384    88080384
  3579.315  4.7401e+00  0.0000e+00    88080384    88080384
  3580.140  4.7387e+00  0.0000e+00    88080384    88080384
  3580.964  4.7373e+00  0.0000e+00    88080384    88080384
  3581.789  4.7359e+00  0.0000e+00    88080384    88080384
  3582.614  4.7346e+00  0.0000e+00    88080384    88080384
  3583.439  4.7332e+00  0.0000e+00    88080384    88080384
  3584.264  4.7318e+00  0.0000e+00    88080384    88080384
  3585.089  4.7305e+00  0.0000e+00    88080384    88080384
  3585.915  4.7291e+00  0.0000e+00    16777216    88080384
  3586.741  4.7277e+00  0.0000e+00    16777216    88080384
  3587.567  4.7264e+00  3.5784e+00           0           0
  3588.393 -4.9235e-01  3.4678e+00           0           0
  3589.219  1.3161e+01  3.8467e+00           0           0
  3590.046  1.0839e+01  3.8322e+00           0           0
  3590.872  5.6041e+00  3.7114e+00           0           0
  3591.699  1.2626e+01  3.8633e+00           0           0
  3592.526  1.8411e+01  4.0062e+00           0           0
  3593.354  8.3095e+00  3.8514e+00           0           0
  3594.181  7.6986e+00  3.8195e+00           0           0
  3595.009  4.1795e+00  3.7535e+00           0           0
  3595.837  5.6551e+00  3.7716e+00           0           0
  3596.665  1.0531e+01  3.8299e+00           0           0
  3597.493  5.9487e+00  3.7536e+00           0           0
  3598.322  5.9805e+00  3.7437e+00           0           0
  3599.150  9.3324e+00  4.0193e+00           0    33554432
  3599.979  4.7432e+00  3.8901e+00           0    33554432
  3600.808  7.3919e+00  3.8784e+00           0      851968
  3601.637  1.4975e+01  4.0284e+00           0      851968
  3602.467  7.9816e+00  3.8125e+00           0      851968
  3603.296  2.0715e+00  3.5801e+00           0      851968
  3604.126  4.9829e+00  3.5407e+00           0      851968
  3604.956  7.9286e+00  3.5014e+00           0           0
  3605.786  6.4270e+00  3.3378e+00           0           0
  3606.617  7.4809e-01  3.1830e+00           0           0
  3607.447 -5.1934e+00  2.9780e+00           0           0
  3608.278 -2.6474e+00  3.0678e+00           0           0
  3609.109  1.2981e+01  3.4687e+00           0           0
  3609.940  1.2065e+01  3.3572e+00           0           0
  3610.771  7.9223e+00  3.2929e+00           0           0
  3611.603  9.0949e+00  3.2050e+00           0           0
  3612.434  5.4749e+00  3.1880e+00           0           0
  3613.266  6.8569e+00  3.2187e+00           0           0
  3614.098  7.6986e+00  3.1534e+00           0           0
  3614.931  7.6644e+00  3.2298e+00           0           0
  3615.763  4.3707e+00  3.1186e+00           0           0
  3616.596  3.6169e+00  3.2076e+00           0           0
  3617.429  9.2380e+00  3.2685e+00           0           0
  3618.262  1.1723e+00  3.1078e+00           0           0
  3619.095  2.4870e+00  3.0527e+00           0           0
  3619.928  1.2232e+01  3.2106e+00           0           0
  3620.762  1.2480e+01  3.2281e+00           0           0
  3621.596  6.7780e+00  3.0997e+00           0           0
  3622.430  1.0795e+01  3.1876e+00           0           0
  3623.264  4.8696e+00  3.1162e+00           0           0
  3624.098  4.1146e+00  3.0909e+00           0           0
  3624.933  1.0576e+01  3.2347e+00           0           0
  3625.768  1.2059e+01  3.2303e+00           0           0
  3626.603  3.6438e+00  2.9830e+00           0           0
  3627.438 -3.3737e+00  2.8801e+00           0           0
  3628.273  4.7888e+00  3.0425e+00           0           0
  3629.109  7.4014e+00  3.1456e+00           0           0
  3629.944  7.5839e+00  3.0951e+00           0           0
  3630.780  5.9086e+00  2.9749e+00           0           0
  3631.616  6.9108e+00  3.0119e+00           0           0
  3632.453  1.2891e+01  3.0562e+00           0           0
  3633.289  6.5103e+00  2.9775e+00           0           0
  3634.126  7.8854e+00  2.9235e+00           0           0
  3634.963  5.5300e+00  2.9621e+00           0           0
  3635.800  7.3668e+00  2.9579e+00           0           0
  3636.637  1.0378e+01  3.0147e+00           0           0
  3637.475  1.8627e+00  2.8999e+00           0           0
  3638.312  1.5445e+00  2.8560e+00           0           0
  3639.150  1.7835e-01  2.8171e+00           0           0
  3639.988  3.4201e-01  2.7293e+00           0           0
  3640.826  1.4084e+00  2.8810e+00           0           0
  3641.665  2.0666e+00  2.8572e+00           0           0
  3642.503  3.5433e+00  2.9204e+00           0           0
  3643.342  6.5794e+00  2.9466e+00           0           0
  3644.181  3.2554e+00  2.8495e+00           0           0
  3645.021  3.3987e+00  2.7973e+00           0           0
  3645.860  5.5197e+00  2.8454e+00           0           0
  3646.699  7.3523e+00  2.8720e+00           0           0
  3647.539  8.4511e+00  2.8329e+00           0           0
  3648.379  1.2096e+00  2.6382e+00           0           0
  3649.219  8.6477e-02  2.5525e+00           0           0
  3650.060  2.6748e+00  2.7360e+00           0           0
  3650.900  6.1818e+00  2.8381e+00           0           0
  3651.741  3.6692e+00  2.8135e+00           0           0
  3652.582 -2.4249e+00  2.7640e+00           0           0
  3653.423  1.5599e+01  2.9333e+00           0           0
  3654.264  1.8132e+00  2.7809e+00           0           0
  3655.106  2.5916e+00  2.7352e+00           0           0
  3655.948  8.1483e+00  2.8672e+00           0           0
  3656.790  5.2167e+00  2.7676e+00           0           0
  3657.632  5.4796e+00  2.7285e+00           0           0
  3658.474  2.3075e+00  2.7123e+00           0           0
  3659.317  4.8307e+00  2.7070e+00           0           0
  3660.159  4.7035e+00  2.7963e+00           0           0
  3661.002  4.1232e+00  2.6544e+00           0           0
  3661.845  4.2180e+00  2.7282e+00           0           0
  3662.688  3.6275e+00  2.7623e+00           0           0
  3663.532  1.0714e+01  2.8625e+00           0           0
  3664.376  8.7321e+00  2.8611e+00           0           0
  3665.219  7.8231e+00  2.7690e+00           0           0
  3666.063  4.2476e+00  2.6086e+00           0           0
  3666.908  9.9247e-01  2.4557e+00           0           0
  3667.752  6.5951e+00  2.5164e+00           0           0
  3668.597  5.1087e+00  2.4776e+00           0           0
  3669.442  1.0500e+01  2.5192e+00           0           0
  3670.287  6.0194e+00  2.3963e+00           0           0
  3671.132  1.8926e+00  2.3179e+00           0           0
  3671.977  3.7442e+00  2.3414e+00           0           0
  3672.823  2.7636e+00  2.3391e+00           0           0
  3673.669  4.9843e+00  2.3854e+00           0           0
  3674.515  2.8112e+00  2.3641e+00           0           0
  3675.361  4.2048e+00  2.3510e+00           0           0
  3676.207  5.8263e+00  2.3959e+00           0           0
  3677.054  5.1688e+00  2.3284e+00           0           0
  3677.901  5.4050e+00  2.3233e+00           0           0
  3678.747  4.6851e+00  2.2625e+00           0      524288
  3679.595  6.3426e+00  2.2398e+00           0      524288
  3680.442  4.6188e+00  2.1602e+00           0      524288
  3681.290  2.7405e+00  2.1012e+00           0           0
  3682.137  3.7737e+00  2.1281e+00           0           0
  3682.985  5.1170e+00  2.1884e+00           0           0
  3683.833  4.7826e+00  2.2055e+00           0           0
  3684.682  7.7928e+00  2.2471e+00           0           0
  3685.530  8.5449e+00  2.2664e+00           0           0
  3686.379  7.5948e+00  2.1786e+00           0           0
  3687.228  6.1074e+00  2.1142e+00           0           0
  3688.077  4.1376e+00  2.0541e+00           0      524288
  3688.926  5.8782e+00  2.0614e+00           0      524288
  3689.776  4.8807e+00  2.0472e+00           0           0
  3690.625  8.2754e+00  2.1482e+00           0           0
  3691.475  7.5019e+00  2.1849e+00           0           0
  3692.325  2.7969e+00  2.1529e+00           0           0
  3693.176  4.8394e+00  2.1559e+00           0           0
  3694.026  4.4761e+00  2.1248e+00           0           0
  3694.877  7.8272e+00  2.1380e+00           0           0
  3695.728  8.4440e+00  2.1196e+00           0           0
  3696.579  6.0643e+00  2.0297e+00           0           0
  3697.430  4.6474e+00  2.0237e+00           0           0
  3698.282  4.8370e+00  2.0099e+00           0           0
  3699.133  7.4527e-01  1.9882e+00           0           0
  3699.985  4.2354e+00  2.0271e+00           0           0
  3700.837  9.1236e+00  2.1769e+00           0           0
  3701.689  8.3338e+00  2.1306e+00           0           0
  3702.542  3.6798e+00  2.0524e+00           0           0
  3703.394  3.0461e+00  1.9992e+00           0           0
  3704.247  6.5981e+00  2.0942e+00           0    33554432
  3705.100  6.4992e+00  2.0242e+00           0    33554432
  3705.954  6.5780e+00  1.8996e+00           0           0
  3706.807  5.8137e+00  1.8165e+00           0           0
  3707.661  4.7476e+00  1.8166e+00           0    33554432
  3708.514  5.3980e+00  1.8440e+00           0    33554432
  3709.368  2.1813e+00  1.8002e+00           0    33554432
  3710.223  5.8496e+00  1.8122e+00           0    33554432
  3711.077  8.6494e+00  1.8127e+00           0           0
  3711.932  7.0730e+00  1.8589e+00           0           0
  3712.787  5.7417e+00  1.8506e+00           0           0
  3713.641  8.4075e+00  1.8735e+00           0           0
  3714.497  6.0822e+00  1.8853e+00           0           0
  3715.352  7.2093e+00  1.9172e+00           0           0
  3716.208  8.2071e+00  1.8870e+00           0           0
  3717.063  8.5776e+00  1.9159e+00           0           0
  3717.919  8.2563e+00  1.8489e+00           0           0
  3718.776  7.4930e+00  1.8520e+00           0           0
