# Mean_MJD=58230.276
# RMID=160 SOURCE_TYPE=RM_TILE1
# ZFINAL=0.3593
# EPOCH=75
# PLATE=7340 MJD=58230 FIBERID=0619
# Wave[vaccum]  Flux  Flux_Err  ANDMASK  ORMASK
# [Ang]         [10^(-17) erg/cm2/s/Ang]
  3566.974 -1.2852e+00  0.0000e+00    83886080    88080384
  3567.796 -1.2848e+00  0.0000e+00    88080384    88080384
  3568.617 -1.2844e+00  0.0000e+00    88080384    88080384
  3569.439 -1.2840e+00  0.0000e+00    88080384    88080384
  3570.261 -1.2836e+00  0.0000e+00    88080384    88080384
  3571.083 -1.2832e+00  0.0000e+00    88080384    88080384
  3571.906 -1.2829e+00  0.0000e+00    88080384    88080384
  3572.728 -1.2825e+00  0.0000e+00    88080384    88080384
  3573.551 -1.2821e+00  0.0000e+00    88080384    88080384
  3574.374 -1.2817e+00  0.0000e+00    88080384    88080384
  3575.197 -1.2813e+00  0.0000e+00    88080384    88080384
  3576.020 -1.2809e+00  0.0000e+00    88080384    88080384
  3576.844 -1.2805e+00  0.0000e+00    88080384    88080384
  3577.668 -1.2801e+00  0.0000e+00    88080384    88080384
  3578.491 -1.2797e+00  0.0000e+00    88080384    88080384
  3579.315 -1.2793e+00  0.0000e+00    88080384    88080384
  3580.140 -1.2789e+00  0.0000e+00    88080384    88080384
  3580.964 -1.2785e+00  0.0000e+00    88080384    88080384
  3581.789 -1.2782e+00  0.0000e+00    88080384    88080384
  3582.614 -1.2778e+00  0.0000e+00    88080384    88080384
  3583.439 -1.2774e+00  0.0000e+00    88080384    88080384
  3584.264 -1.2770e+00  0.0000e+00    88080384    88080384
  3585.089 -1.2766e+00  0.0000e+00    88080384    88080384
  3585.915 -1.2762e+00  0.0000e+00    88080384    88080384
  3586.741 -1.2758e+00  0.0000e+00    88080384    88080384
  3587.567 -1.2755e+00  0.0000e+00    88080384    88080384
  3588.393 -1.2751e+00  0.0000e+00    88080384    88080384
  3589.219 -1.2747e+00  0.0000e+00    88080384    88080384
  3590.046 -1.2743e+00  0.0000e+00    88080384    88080384
  3590.872 -1.2739e+00  0.0000e+00    88080384    88080384
  3591.699 -1.2735e+00  0.0000e+00    88080384    88080384
  3592.526 -1.2732e+00  0.0000e+00    88080384    88080384
  3593.354 -1.2728e+00  0.0000e+00    88080384    88080384
  3594.181 -1.2724e+00  0.0000e+00    88080384    88080384
  3595.009 -1.2720e+00  0.0000e+00    88080384    88080384
  3595.837 -1.2717e+00  0.0000e+00    88080384    88080384
  3596.665 -1.2713e+00  0.0000e+00    88080384    88080384
  3597.493 -1.2709e+00  0.0000e+00    88080384    88080384
  3598.322 -1.2705e+00  0.0000e+00    16777216    88080384
  3599.150 -1.2702e+00  0.0000e+00    16777216    16777216
  3599.979 -1.2698e+00  3.4703e+00           0           0
  3600.808  6.8054e+00  3.4667e+00           0           0
  3601.637  2.0510e+00  3.2846e+00           0           0
  3602.467  2.6598e+00  3.1463e+00           0           0
  3603.296  7.0921e+00  3.1370e+00           0           0
  3604.126  5.8611e+00  2.9833e+00           0           0
  3604.956  1.6439e+00  2.8679e+00           0           0
  3605.786  6.4023e+00  2.8593e+00           0           0
  3606.617  4.1581e+00  2.8307e+00           0           0
  3607.447  3.6924e+00  2.7298e+00           0           0
  3608.278  6.5881e+00  2.8381e+00           0           0
  3609.109  6.5455e+00  2.7642e+00           0           0
  3609.940  1.7044e+00  2.6836e+00           0           0
  3610.771  4.5041e+00  2.6482e+00           0           0
  3611.603  2.3719e+00  2.6821e+00           0           0
  3612.434  5.4391e+00  2.7613e+00           0           0
  3613.266  8.2579e+00  2.8755e+00           0           0
  3614.098  4.4589e+00  2.6878e+00           0           0
  3614.931  8.1032e-01  2.7030e+00           0           0
  3615.763  6.8649e+00  2.8577e+00           0           0
  3616.596  6.5952e+00  3.0456e+00           0           0
  3617.429  1.3169e+01  3.1963e+00           0           0
  3618.262  1.1023e+01  3.0268e+00           0           0
  3619.095  1.5994e+00  2.7302e+00           0           0
  3619.928  8.1721e+00  2.7636e+00           0           0
  3620.762  6.6157e+00  2.7825e+00           0           0
  3621.596  5.8137e+00  2.7099e+00           0           0
  3622.430  3.9155e+00  2.7136e+00           0           0
  3623.264  5.4670e+00  2.7721e+00           0           0
  3624.098  6.4303e+00  2.7497e+00           0           0
  3624.933 -7.8474e-03  2.6500e+00           0           0
  3625.768  7.7420e+00  2.6759e+00           0           0
  3626.603  2.7179e+00  2.6864e+00           0           0
  3627.438 -6.4817e-01  2.5343e+00           0           0
  3628.273  3.0688e+00  2.7077e+00           0           0
  3629.109  4.9604e+00  2.7065e+00           0           0
  3629.944 -2.0483e-01  2.6605e+00           0           0
  3630.780  5.9070e+00  2.7739e+00           0           0
  3631.616  8.7484e+00  2.9082e+00           0           0
  3632.453  6.1275e+00  2.8203e+00           0           0
  3633.289  4.8521e+00  2.6855e+00           0           0
  3634.126  6.7345e+00  2.7511e+00           0           0
  3634.963  6.2702e+00  2.7684e+00           0           0
  3635.800  3.9980e+00  2.7545e+00           0           0
  3636.637  5.0772e+00  2.7820e+00           0           0
  3637.475  4.4433e+00  2.8285e+00           0           0
  3638.312  4.7845e+00  2.7866e+00           0           0
  3639.150  6.8534e+00  2.8159e+00           0           0
  3639.988  5.8627e+00  2.7535e+00           0           0
  3640.826  4.9637e+00  2.6980e+00           0           0
  3641.665  1.0213e+01  2.7545e+00           0           0
  3642.503  1.0642e+01  2.7442e+00           0           0
  3643.342  6.6379e+00  2.5811e+00           0           0
  3644.181  3.3007e+00  2.4701e+00           0           0
  3645.021  3.0243e+00  2.4418e+00           0           0
  3645.860  6.8989e+00  2.5696e+00           0           0
  3646.699  5.0395e+00  2.5221e+00           0           0
  3647.539  1.1345e+00  2.3845e+00           0           0
  3648.379  5.2994e-01  2.3131e+00           0           0
  3649.219  5.1724e+00  2.5033e+00           0           0
  3650.060  1.0536e+01  2.7727e+00           0           0
  3650.900  6.4142e+00  2.6912e+00           0           0
  3651.741  5.3067e+00  2.6503e+00           0           0
  3652.582  5.9505e+00  2.6607e+00           0           0
