# Mean_MJD=58146.422
# RMID=160 SOURCE_TYPE=RM_TILE1
# ZFINAL=0.3593
# EPOCH=71
# PLATE=7338 MJD=58146 FIBERID=0614
# Wave[vaccum]  Flux  Flux_Err  ANDMASK  ORMASK
# [Ang]         [10^(-17) erg/cm2/s/Ang]
  3566.974  4.5365e+01  0.0000e+00    88080384    88080384
  3567.796  4.5351e+01  0.0000e+00    88080384    88080384
  3568.617  4.5338e+01  0.0000e+00    88080384    88080384
  3569.439  4.5324e+01  0.0000e+00    88080384    88080384
  3570.261  4.5311e+01  0.0000e+00    88080384    88080384
  3571.083  4.5297e+01  0.0000e+00    88080384    88080384
  3571.906  4.5283e+01  0.0000e+00    88080384    88080384
  3572.728  4.5270e+01  0.0000e+00    88080384    88080384
  3573.551  4.5257e+01  0.0000e+00    88080384    88080384
  3574.374  4.5243e+01  0.0000e+00    88080384    88080384
  3575.197  4.5230e+01  0.0000e+00    88080384    88080384
  3576.020  4.5216e+01  0.0000e+00    88080384    88080384
  3576.844  4.5203e+01  0.0000e+00    88080384    88080384
  3577.668  4.5189e+01  0.0000e+00    88080384    88080384
  3578.491  4.5176e+01  0.0000e+00    88080384    88080384
  3579.315  4.5163e+01  0.0000e+00    88080384    88080384
  3580.140  4.5149e+01  0.0000e+00    88080384    88080384
  3580.964  4.5136e+01  0.0000e+00    88080384    88080384
  3581.789  4.5123e+01  0.0000e+00    88080384    88080384
  3582.614  4.5110e+01  0.0000e+00    88080384    88080384
  3583.439  4.5096e+01  0.0000e+00    16777216    16777216
  3584.264  4.5083e+01  0.0000e+00    16777216    16777216
  3585.089  4.5070e+01  4.1582e+00           0           0
  3585.915 -3.2731e+01  4.0352e+00           0           0
  3586.741  2.7402e+01  3.9385e+00           0           0
  3587.567 -1.0402e+01  3.8932e+00           0           0
  3588.393 -1.4234e+00  4.0052e+00           0           0
  3589.219  2.0966e+01  3.9857e+00           0           0
  3590.046 -1.6971e+01  4.0770e+00           0           0
  3590.872  2.2498e+01  4.1656e+00           0           0
  3591.699 -7.7274e+00  4.2844e+00           0           0
  3592.526  1.5065e+01  4.4929e+00           0           0
  3593.354  5.8210e+00  4.3255e+00           0           0
  3594.181 -2.7378e+00  4.6502e+00           0           0
  3595.009  2.7557e+01  4.6326e+00           0           0
  3595.837 -8.5251e+00  4.6361e+00           0           0
  3596.665  2.8230e+01  4.7115e+00           0           0
  3597.493  4.3472e+00  4.6004e+00           0           0
  3598.322  3.4912e+00  4.5471e+00           0           0
  3599.150  1.3229e+01  4.4087e+00           0           0
  3599.979 -5.6115e+00  4.5260e+00           0           0
  3600.808  2.0171e+01  4.5327e+00           0           0
  3601.637 -6.3033e-01  4.4612e+00           0           0
  3602.467  1.5665e+01  4.4659e+00           0           0
  3603.296  5.1186e+00  4.0354e+00           0           0
  3604.126 -7.7557e+00  3.8760e+00           0           0
