# Mean_MJD=57185.171
# RMID=160 SOURCE_TYPE=RM_TILE1
# ZFINAL=0.3593
# EPOCH=43
# PLATE=7340 MJD=57185 FIBERID=0609
# Wave[vaccum]  Flux  Flux_Err  ANDMASK  ORMASK
# [Ang]         [10^(-17) erg/cm2/s/Ang]
  3566.974  5.5173e+00  0.0000e+00    83886080    83886080
  3567.796  5.5155e+00  0.0000e+00    83886080    83886080
  3568.617  5.5137e+00  0.0000e+00    83886080    83886080
  3569.439  5.5119e+00  0.0000e+00    83886080    83886080
  3570.261  5.5101e+00  0.0000e+00    83886080    83886080
  3571.083  5.5083e+00  0.0000e+00    83886080    83886080
  3571.906  5.5066e+00  0.0000e+00    83886080    88080384
  3572.728  5.5048e+00  0.0000e+00    88080384    88080384
  3573.551  5.5030e+00  0.0000e+00    88080384    88080384
  3574.374  5.5012e+00  0.0000e+00    88080384    88080384
  3575.197  5.4995e+00  0.0000e+00    88080384    88080384
  3576.020  5.4977e+00  0.0000e+00    88080384    88080384
  3576.844  5.4959e+00  0.0000e+00    88080384    88080384
  3577.668  5.4942e+00  0.0000e+00    88080384    88080384
  3578.491  5.4924e+00  0.0000e+00    88080384    88080384
  3579.315  5.4907e+00  0.0000e+00    88080384    88080384
  3580.140  5.4889e+00  0.0000e+00    88080384    88080384
  3580.964  5.4871e+00  0.0000e+00    88080384    88080384
  3581.789  5.4854e+00  0.0000e+00    88080384    88080384
  3582.614  5.4837e+00  0.0000e+00    88080384    88080384
  3583.439  5.4819e+00  0.0000e+00    88080384    88080384
  3584.264  5.4802e+00  0.0000e+00    88080384    88080384
  3585.089  5.4784e+00  0.0000e+00    88080384    88080384
  3585.915  5.4767e+00  0.0000e+00    88080384    88080384
  3586.741  5.4750e+00  0.0000e+00    88080384    88080384
  3587.567  5.4732e+00  0.0000e+00    88080384    88080384
  3588.393  5.4715e+00  0.0000e+00    88080384    88080384
  3589.219  5.4698e+00  0.0000e+00    88080384    88080384
  3590.046  5.4681e+00  0.0000e+00    88080384    88080384
  3590.872  5.4664e+00  0.0000e+00    88080384    88080384
  3591.699  5.4647e+00  0.0000e+00    88080384    88080384
  3592.526  5.4629e+00  0.0000e+00    88080384    88080384
  3593.354  5.4612e+00  0.0000e+00    88080384    88080384
