# Mean_MJD=58560.572
# RMID=160 SOURCE_TYPE=RM_TILE1
# ZFINAL=0.3593
# EPOCH=81
# PLATE=7339 MJD=58561 FIBERID=0609
# Wave[vaccum]  Flux  Flux_Err  ANDMASK  ORMASK
# [Ang]         [10^(-17) erg/cm2/s/Ang]
  3566.974 -3.8857e+00  0.0000e+00    83886080    83886080
  3567.796 -3.8848e+00  0.0000e+00    83886080    88080384
  3568.617 -3.8840e+00  0.0000e+00    88080384    88080384
  3569.439 -3.8832e+00  0.0000e+00    88080384    88670208
  3570.261 -3.8824e+00  0.0000e+00    88670208    88670208
  3571.083 -3.8815e+00  0.0000e+00    88670208    88670208
  3571.906 -3.8807e+00  0.0000e+00    88670208    88670208
  3572.728 -3.8799e+00  0.0000e+00    88080384    88670208
  3573.551 -3.8791e+00  0.0000e+00    88080384    88080384
  3574.374 -3.8783e+00  0.0000e+00    88080384    88080384
  3575.197 -3.8775e+00  0.0000e+00    88080384    88080384
  3576.020 -3.8766e+00  0.0000e+00    88080384    88670208
  3576.844 -3.8758e+00  0.0000e+00    88080384    88670208
  3577.668 -3.8750e+00  0.0000e+00    88080384    88670208
  3578.491 -3.8742e+00  0.0000e+00    88670208    88670208
  3579.315 -3.8734e+00  0.0000e+00    88080384    88670208
  3580.140 -3.8726e+00  0.0000e+00    88080384    88080384
  3580.964 -3.8718e+00  0.0000e+00    88080384    88080384
  3581.789 -3.8710e+00  0.0000e+00    88080384    88670208
  3582.614 -3.8702e+00  0.0000e+00    88080384    88670208
  3583.439 -3.8694e+00  0.0000e+00    88080384    88670208
  3584.264 -3.8686e+00  0.0000e+00    88080384    88670208
  3585.089 -3.8678e+00  0.0000e+00    16777216    88670208
  3585.915 -3.8670e+00  0.0000e+00    16777216    16777216
  3586.741 -3.8662e+00  3.7442e+00           0           0
  3587.567  4.3119e-02  3.9212e+00           0           0
  3588.393  4.0085e+00  4.0009e+00           0           0
  3589.219  1.8852e+00  3.9492e+00           0           0
  3590.046 -4.4023e+00  3.6324e+00           0           0
  3590.872 -4.9969e+00  3.5933e+00           0           0
  3591.699  4.2050e+00  3.6656e+00           0           0
  3592.526  2.8609e+00  3.7106e+00           0           0
  3593.354  9.1156e+00  3.7559e+00           0           0
  3594.181  5.5082e+00  3.7718e+00           0           0
  3595.009 -3.0479e+00  3.3945e+00           0           0
  3595.837  4.4682e-01  3.6314e+00           0           0
  3596.665  1.1752e+01  3.9569e+00           0    33554432
  3597.493  5.9714e-01  3.9258e+00           0    34144256
  3598.322  5.6314e+00  4.0121e+00           0      589824
  3599.150  2.6243e+00  3.5298e+00           0      589824
  3599.979 -3.3810e+00  3.4003e+00           0           0
  3600.808  1.6446e+00  3.5418e+00           0           0
  3601.637  5.0569e+00  3.6733e+00           0           0
  3602.467  4.0146e+00  3.5661e+00           0           0
  3603.296 -7.5362e+00  3.2308e+00           0           0
  3604.126 -3.1371e+00  3.3496e+00           0           0
  3604.956  4.3580e+00  3.2514e+00           0           0
  3605.786  6.8481e-01  3.2636e+00           0           0
  3606.617  4.7371e+00  3.2999e+00           0      589824
  3607.447  7.7613e+00  3.3545e+00           0      589824
  3608.278  7.6865e+00  3.3759e+00           0      589824
  3609.109  1.1497e+01  4.3885e+00      589824      589824
  3609.940  9.2535e+00  3.1748e+00           0      589824
  3610.771  1.6672e-01  3.2293e+00           0      589824
  3611.603  3.2399e+00  3.1510e+00           0      589824
  3612.434  7.4173e-01  3.0464e+00           0           0
  3613.266  6.2650e+00  3.2887e+00           0      589824
  3614.098  6.8476e+00  3.9002e+00           0      589824
  3614.931  7.6694e+00  3.3571e+00           0      589824
  3615.763  9.2870e+00  3.1065e+00           0           0
  3616.596 -2.7423e+00  3.4621e+00           0      589824
  3617.429  6.2684e+00  3.7936e+00           0      589824
  3618.262  1.1762e+01  3.4827e+00           0    33554432
  3619.095  4.1707e+00  3.1961e+00           0    33554432
  3619.928  1.1344e+00  2.7916e+00           0           0
  3620.762  6.4900e+00  2.8901e+00           0           0
  3621.596 -2.8633e-01  2.9999e+00           0           0
  3622.430  9.9638e+00  3.1857e+00           0           0
  3623.264  2.3051e-01  3.2647e+00           0           0
  3624.098  1.9969e+00  3.0750e+00           0           0
  3624.933  7.2895e+00  3.2555e+00           0           0
  3625.768  6.9188e-01  3.0589e+00           0           0
  3626.603  3.5649e+00  3.2419e+00           0           0
  3627.438  9.6057e+00  3.4191e+00           0           0
  3628.273  1.1158e+01  3.4906e+00           0      589824
  3629.109  4.7909e+00  3.5191e+00       65536      589824
  3629.944  2.8339e+00  3.0875e+00       65536      589824
  3630.780  6.7074e+00  3.1223e+00       65536      589824
  3631.616  5.2891e-01  2.8751e+00       65536      589824
  3632.453  8.9105e+00  2.8159e+00       65536      589824
  3633.289  1.1713e+00  2.7507e+00           0      589824
  3634.126  4.3425e-01  2.6361e+00           0           0
  3634.963  2.7890e+00  2.7519e+00           0           0
  3635.800 -1.3998e+00  2.7226e+00           0           0
  3636.637  4.0221e+00  2.9472e+00           0           0
  3637.475  1.2142e+01  3.2992e+00           0    33554432
  3638.312  7.5106e+00  3.2763e+00           0    33554432
  3639.150  2.0700e+00  3.0346e+00           0           0
  3639.988  2.2311e+00  3.0519e+00           0           0
  3640.826  3.8458e+00  3.1447e+00           0           0
  3641.665  1.1447e+00  3.1249e+00           0           0
  3642.503 -2.3000e+00  3.3556e+00           0      589824
  3643.342  4.4687e+00  3.3542e+00           0      589824
  3644.181  6.6664e+00  3.0346e+00           0           0
  3645.021  2.7272e+00  2.8306e+00           0           0
  3645.860  1.8661e+00  2.7557e+00           0           0
  3646.699  6.4580e+00  2.8116e+00           0           0
  3647.539  5.4767e+00  2.6912e+00           0           0
  3648.379  1.3612e+00  2.5484e+00           0           0
  3649.219 -2.1152e+00  2.5957e+00           0      589824
  3650.060 -1.5082e-01  2.8586e+00           0      589824
  3650.900  4.7593e+00  2.7449e+00           0           0
  3651.741  3.6473e+00  2.8242e+00           0           0
