# Mean_MJD=57859.220
# RMID=160 SOURCE_TYPE=RM_TILE1
# ZFINAL=0.3593
# EPOCH=64
# PLATE=7338 MJD=57859 FIBERID=0612
# Wave[vaccum]  Flux  Flux_Err  ANDMASK  ORMASK
# [Ang]         [10^(-17) erg/cm2/s/Ang]
  3566.974  1.8902e+01  0.0000e+00    83886080    83886080
  3567.796  1.8897e+01  0.0000e+00    83886080    83886080
  3568.617  1.8892e+01  0.0000e+00    83886080    83886080
  3569.439  1.8887e+01  0.0000e+00    83886080    83886080
  3570.261  1.8882e+01  0.0000e+00    83886080    83886080
  3571.083  1.8877e+01  0.0000e+00    83886080    83886080
  3571.906  1.8873e+01  0.0000e+00    83886080    83886080
  3572.728  1.8868e+01  0.0000e+00    83886080    83886080
  3573.551  1.8863e+01  0.0000e+00    83886080    88080384
  3574.374  1.8858e+01  0.0000e+00    88080384    88080384
  3575.197  1.8853e+01  0.0000e+00    88080384    88080384
  3576.020  1.8848e+01  0.0000e+00    88080384    88080384
  3576.844  1.8843e+01  0.0000e+00    88080384    88080384
  3577.668  1.8839e+01  0.0000e+00    88080384    88080384
  3578.491  1.8834e+01  0.0000e+00    88080384    88080384
  3579.315  1.8829e+01  0.0000e+00    88080384    88080384
  3580.140  1.8824e+01  0.0000e+00    88080384    88080384
  3580.964  1.8819e+01  0.0000e+00    88080384    88080384
  3581.789  1.8815e+01  0.0000e+00    88080384    88080384
  3582.614  1.8810e+01  0.0000e+00    88080384    88670208
  3583.439  1.8805e+01  0.0000e+00    88080384    88670208
  3584.264  1.8800e+01  0.0000e+00    88080384    88080384
  3585.089  1.8796e+01  0.0000e+00    88080384    88080384
  3585.915  1.8791e+01  0.0000e+00    88080384    88670208
  3586.741  1.8786e+01  0.0000e+00    88670208    88670208
  3587.567  1.8781e+01  0.0000e+00    88080384    88670208
  3588.393  1.8777e+01  0.0000e+00    88080384    88670208
  3589.219  1.8772e+01  0.0000e+00    88670208    88670208
  3590.046  1.8767e+01  0.0000e+00    88080384    88080384
  3590.872  1.8762e+01  0.0000e+00    88080384    88670208
  3591.699  1.8758e+01  0.0000e+00    88080384    88670208
  3592.526  1.8753e+01  0.0000e+00    88080384    88670208
  3593.354  1.8748e+01  0.0000e+00    88670208    88670208
  3594.181  1.8744e+01  0.0000e+00    88080384    88670208
  3595.009  1.8739e+01  0.0000e+00    88080384    88080384
  3595.837  1.8734e+01  0.0000e+00    88080384    88080384
  3596.665  1.8730e+01  0.0000e+00    88080384    88080384
  3597.493  1.8725e+01  0.0000e+00    88080384    88670208
  3598.322  1.8720e+01  0.0000e+00    88080384    88670208
  3599.150  1.8716e+01  0.0000e+00    88080384    88080384
  3599.979  1.8711e+01  0.0000e+00    88080384    88080384
  3600.808  1.8707e+01  0.0000e+00    88080384    88080384
  3601.637  1.8702e+01  0.0000e+00    88080384    88080384
  3602.467  1.8697e+01  0.0000e+00    88080384    88080384
  3603.296  1.8693e+01  0.0000e+00    88080384    88670208
  3604.126  1.8688e+01  0.0000e+00    88145920    88670208
